update,mean_fitness,min_fitness,max_fitness,inferiority
561,203.867,16,208,0.98013
562,204.415,19,208,0.982764
563,204.201,115,208,0.981736
564,203.467,16,208,0.978207
565,204.099,14,208,0.981245
566,203.83,22,208,0.979952
567,204.181,26,208,0.981639
568,204.754,20,208,0.984394
569,203.863,20,208,0.980111
570,203.456,19,208,0.978154
571,204.195,17,208,0.981707
572,204.035,20,208,0.980938
573,203.947,22,208,0.980514
574,203.942,17,208,0.98049
575,202.502,17,208,0.973567
576,204.116,21,208,0.981327
577,203.925,19,208,0.980409
578,203.519,16,208,0.978457
579,204.113,21,208,0.981313
580,203.864,16,208,0.980115
581,203.214,24,208,0.97699
582,203.58,19,208,0.97875
583,204.081,26,208,0.981159
584,203.796,20,208,0.979788
585,204.207,16,208,0.981764
586,203.695,16,208,0.979303
587,204.289,19,208,0.982159
588,204.328,27,208,0.982346
589,203.299,16,208,0.977399
590,203.904,16,208,0.980308
591,203.664,17,208,0.979154
592,204.316,18,224,0.912125
593,204.312,26,224,0.912107
594,204.725,27,224,0.913951
595,206.033,16,224,0.91979
596,209.585,22,224,0.935647
597,215.579,23,224,0.962406
598,219.587,27,224,0.980299
599,219.174,19,224,0.978455
600,220.031,27,224,0.982281
601,219.677,26,224,0.980701
602,219.873,22,224,0.981576
603,220.063,19,224,0.982424
604,219.703,27,224,0.980817
605,219.602,16,224,0.980366
606,219.74,22,224,0.980982
607,218.968,22,224,0.977536
608,218.443,22,224,0.975192
609,219.336,22,224,0.979179
610,218.994,21,224,0.977652
611,219.422,22,224,0.979563
612,220.378,24,224,0.98383
613,219.277,23,224,0.978915
614,218.792,17,224,0.97675
615,219.607,22,224,0.980388
616,219.026,26,224,0.977795
617,217.945,19,224,0.972969
618,219.023,17,224,0.977781
619,219.091,27,224,0.978085
620,219.888,25,224,0.981643
621,219.94,27,224,0.981875
622,219.221,22,224,0.978665
623,219.737,22,224,0.980969
624,220.009,26,224,0.982183
625,219.897,26,224,0.981683
626,219.329,22,224,0.979147
627,220.108,23,224,0.982625
628,218.685,19,224,0.976272
629,219.002,16,224,0.977688
630,219.441,24,224,0.979647
631,219.491,20,224,0.979871
632,219.194,27,224,0.978545
633,219.07,22,224,0.977991
634,219.143,15,224,0.978317
635,219.45,93,224,0.979688
636,218.242,19,224,0.974295
637,219.47,26,224,0.979777
638,218.933,21,224,0.977379
639,219.805,25,224,0.981272
640,218.723,22,224,0.976442
641,219.533,26,224,0.980058
642,218.788,18,224,0.976732
643,219.642,130,224,0.980545
644,219.375,130,224,0.979353
645,219.743,18,224,0.980996
646,218.742,19,224,0.976527
647,219.406,19,224,0.979491
648,217.977,18,224,0.973112
649,219.552,23,224,0.980143
650,219.083,22,224,0.978049
651,219.803,21,224,0.981263
652,219.725,16,224,0.980915
653,219.412,20,224,0.979518
654,218.879,20,224,0.977138
655,219.728,26,224,0.980929
656,220.247,146,224,0.983246
657,218.819,20,224,0.976871
658,220.163,22,224,0.982871
659,219.453,19,224,0.979701
660,218.63,18,224,0.976027
661,220.041,29,224,0.982326
662,218.83,17,224,0.97692
663,219.064,25,224,0.977964
664,219.246,19,224,0.978777
665,219.681,20,224,0.980719
666,218.898,21,224,0.977223
667,219.441,24,224,0.979647
668,219.837,16,224,0.981415
669,219.484,22,224,0.979839
670,218.987,17,224,0.977621
671,219.473,22,224,0.97979
672,219.546,18,224,0.980116
673,219.567,22,224,0.98021
674,219.607,22,224,0.980388
675,219.848,96,224,0.981464
676,219.606,17,224,0.980384
677,219.224,22,224,0.978679
678,218.895,17,224,0.97721
679,219.481,16,224,0.979826
680,219.235,21,224,0.978728
681,219.026,17,224,0.977795
682,219.73,37,224,0.980938
683,218.832,19,224,0.976929
684,219.375,27,224,0.979353
685,218.852,14,224,0.977018
686,219.229,22,224,0.978701
687,218.679,12,224,0.976246
688,218.733,22,224,0.976487
689,218.942,20,224,0.97742
690,219.753,21,224,0.98104
691,219.791,112,224,0.98121
692,219.035,20,240,0.912646
693,218.519,19,240,0.910496
694,219.837,22,240,0.915987
695,219.321,23,240,0.913837
696,220.502,22,240,0.918758
697,225.426,25,240,0.939275
698,230.07,22,240,0.958625
699,234.75,23,240,0.978125
700,235.504,23,240,0.981267
701,235.03,25,240,0.979292
702,234.996,145,240,0.97915
703,233.985,22,240,0.974938
704,235.439,26,240,0.980996
705,234.578,23,240,0.977408
706,235.245,23,240,0.980187
707,233.842,23,240,0.974342
708,235.279,28,240,0.980329
709,234.09,17,240,0.975375
710,234.146,21,240,0.975608
711,234.521,17,240,0.977171
712,234.783,28,240,0.978263
713,233.423,12,240,0.972596
714,234.959,27,240,0.978996
715,234.862,21,240,0.978592
716,234.074,16,240,0.975308
717,234.626,27,240,0.977608
718,234.326,20,240,0.976358
719,234.002,27,240,0.975008
720,234.82,23,240,0.978417
721,235.057,28,240,0.979404
722,234.452,23,240,0.976883
723,234.409,23,240,0.976704
724,234.641,22,240,0.977671
725,234.634,22,240,0.977642
726,236.065,25,240,0.983604
727,234.818,23,240,0.978408
728,234.596,26,240,0.977483
729,234.775,27,240,0.978229
730,233.943,25,240,0.974762
731,234.94,22,240,0.978917
732,235.36,162,240,0.980667
733,234.85,27,240,0.978542
734,234.885,25,240,0.978688
735,235.43,24,240,0.980958
736,235.361,17,240,0.980671
737,234.679,28,240,0.977829
738,235.771,115,240,0.982379
739,234.73,23,240,0.978042
740,234.632,23,240,0.977633
741,234.332,17,240,0.976383
742,235.071,25,240,0.979463
743,234.902,24,240,0.978758
744,234.228,19,240,0.97595
745,235.175,17,240,0.979896
746,234.543,22,240,0.977263
747,233.528,22,240,0.973033
748,233.749,21,240,0.973954
749,234.365,22,240,0.976521
750,234.462,23,240,0.976925
751,234.515,28,240,0.977146
752,234.344,20,240,0.976433
753,234.681,27,240,0.977838
754,234.24,19,240,0.976
755,234.049,23,240,0.975204
756,234.694,28,240,0.977892
757,233.718,20,240,0.973825
758,233.919,20,240,0.974662
759,233.518,18,240,0.972992
760,235.451,23,240,0.981046
761,234.047,17,240,0.975196
762,234.174,22,240,0.975725
763,234.909,23,240,0.978788
764,234.056,22,240,0.975233
765,234.483,25,240,0.977012
766,233.786,12,240,0.974108
767,234.384,22,240,0.9766
768,234.958,23,240,0.978992
769,233.645,22,240,0.973521
770,234.754,25,240,0.978142
771,234.564,23,240,0.97735
772,233.739,12,240,0.973912
773,233.976,23,240,0.9749
774,233.512,23,240,0.972967
775,233.916,20,240,0.97465
776,235.347,24,240,0.980612
777,233.935,20,240,0.974729
778,234.628,23,256,0.916516
