update,mean_fitness,min_fitness,max_fitness,inferiority
757,204.707,16,208,0.984168
758,204.284,16,208,0.982135
759,204.45,18,208,0.982933
760,204.92,105,208,0.985192
761,203.518,16,208,0.978452
762,204.557,18,208,0.983447
763,203.856,15,208,0.980077
764,204.089,16,208,0.981197
765,204.468,16,208,0.983019
766,204.331,16,208,0.982361
767,204.284,11,208,0.982135
768,204.595,16,208,0.98363
769,205.102,103,208,0.986067
770,204.788,16,208,0.984558
771,204.742,16,208,0.984337
772,204.265,18,208,0.982043
773,204.884,133,208,0.985019
774,204.137,15,208,0.981428
775,204.309,16,208,0.982255
776,205.15,16,208,0.986298
777,203.357,16,208,0.977678
778,204.627,21,208,0.983784
779,204.068,16,208,0.981096
780,205.057,24,208,0.985851
781,204.18,15,208,0.981635
782,203.739,17,208,0.979514
783,204.705,13,208,0.984159
784,204.439,20,208,0.98288
785,204.663,26,208,0.983957
786,205.014,27,208,0.985644
787,203.815,16,208,0.97988
788,205.149,16,208,0.986293
789,204.874,16,208,0.984971
790,203.612,16,208,0.978904
791,204.164,32,208,0.981558
792,204.598,23,208,0.983644
793,204.118,23,208,0.981337
794,204.22,12,208,0.981827
795,204.427,16,208,0.982822
796,204.661,24,208,0.983947
797,204.465,17,208,0.983005
798,203.775,16,208,0.979688
799,204.12,21,208,0.981346
800,204.305,17,208,0.982236
801,205.021,21,208,0.985678
802,204.564,24,208,0.983481
803,205.852,19,208,0.989673
804,205.16,18,208,0.986346
805,204.804,23,208,0.984635
806,204.535,17,208,0.983341
807,204.85,16,208,0.984856
808,204.214,17,208,0.981798
809,204.765,16,208,0.984447
810,203.623,16,208,0.978957
811,204.866,16,208,0.984933
812,204.106,14,208,0.981279
813,204.029,16,208,0.980909
814,204.394,11,208,0.982663
815,204.703,18,208,0.984149
816,205.139,22,208,0.986245
817,203.896,18,208,0.980269
818,204.811,24,208,0.984668
819,204.048,16,208,0.981
820,204.447,19,208,0.982918
821,204.864,23,208,0.984923
822,203.235,10,208,0.977091
823,205.6,104,208,0.988462
824,204.624,16,208,0.983769
825,204.662,16,208,0.983952
826,204.839,24,208,0.984803
827,203.786,16,208,0.97974
828,205.507,144,208,0.988014
829,204.451,19,208,0.982938
830,204.708,16,208,0.984173
831,204.86,16,208,0.984904
832,204.791,21,208,0.984572
833,204.649,16,208,0.983889
834,205.147,26,208,0.986284
835,204.225,24,208,0.981851
836,204.507,16,208,0.983207
837,204.288,17,208,0.982154
838,203.804,16,208,0.979827
839,204.199,19,208,0.981726
840,204.345,16,208,0.982428
841,205,16,208,0.985577
842,205.079,24,208,0.985957
843,204.7,16,208,0.984135
844,204.831,16,208,0.984764
845,204.929,16,208,0.985236
846,203.93,16,208,0.980433
847,204.879,21,208,0.984995
848,204.678,16,208,0.984029
849,204.348,23,208,0.982442
850,204.506,16,208,0.983202
851,204.15,16,208,0.98149
852,204.411,16,224,0.912549
853,204.631,16,224,0.913531
854,205.1,128,224,0.915625
855,204.643,16,224,0.913585
856,205.173,23,224,0.915951
857,206.852,20,224,0.923446
858,211.185,24,224,0.94279
859,218.056,24,224,0.973464
860,220.576,16,224,0.984714
861,220.213,23,224,0.983094
862,219.961,25,224,0.981969
863,220.991,176,224,0.986567
864,220.361,13,224,0.983754
865,220.027,16,224,0.982263
866,220.213,24,224,0.983094
867,220.183,16,224,0.98296
868,220.367,16,224,0.983781
869,220.317,19,224,0.983558
870,220.169,20,224,0.982897
871,220.832,155,224,0.985857
872,220.547,23,224,0.984585
873,220.504,16,224,0.984393
874,221.081,23,224,0.986969
875,220.473,16,224,0.984254
876,220.458,17,224,0.984187
877,219.823,16,224,0.981353
878,219.578,16,240,0.914908
879,220.711,24,240,0.919629
880,220.244,112,240,0.917683
881,221.342,16,240,0.922258
882,223.847,32,240,0.932696
883,228.336,27,240,0.9514
884,233.692,16,240,0.973717
885,236.654,28,240,0.986058
886,236.333,144,240,0.984721
887,235.781,16,240,0.982421
888,236.084,160,240,0.983683
889,236.552,16,240,0.985633
890,235.469,16,240,0.981121
891,236.486,164,240,0.985358
892,235.706,16,240,0.982108
893,236.943,176,240,0.987263
894,235.929,16,240,0.983038
895,236.56,28,240,0.985667
896,236.676,16,240,0.98615
897,235.966,17,240,0.983192
898,236.497,28,240,0.985404
899,236.275,19,240,0.984479
900,235.54,16,240,0.981417
901,236.081,20,240,0.983671
902,236.322,26,240,0.984675
903,236.57,144,240,0.985708
904,235.702,16,240,0.982092
905,236.018,15,240,0.983408
906,236.066,26,240,0.983608
907,236.218,21,240,0.984242
908,235.46,18,240,0.981083
909,236.433,112,240,0.985137
910,234.903,20,240,0.978762
911,236.628,27,240,0.98595
912,236.56,16,240,0.985667
913,237.012,178,240,0.98755
914,235.601,16,240,0.981671
915,235.047,16,240,0.979363
916,235.871,24,240,0.982796
917,236.372,20,240,0.984883
918,236.016,27,240,0.9834
919,236.019,16,240,0.983413
920,236.284,24,240,0.984517
921,235.438,16,240,0.980992
922,236.113,17,240,0.983804
923,236.18,21,240,0.984083
924,235.848,16,240,0.9827
925,236.2,15,240,0.984167
926,236.324,20,240,0.984683
